"","F1","F2","F5","F6","F7","F10","F11","F12","F13","F14","F15","F18","F19","F20","F22","F23","F26","F27","F28","F29","F30","F31","F34","F35","F36","F37","F38","F39","F42","F43","F44","F46","F47","F50","F51","F52","F53","F54","F55","F58","F59","F60","F61","F62","F63","F66","F67","F68","F69","F70","F71","F74","F75","F76","F77","F78","F79","F82","F83","F84","F85","F86","F87","F90","F91","F92","F93","F94","F96"
"O60341",1446.05265933365,2343.89855501235,2366.89302092635,0,2479.50730420526,0,0,0,0,0,2858.87071994779,5528.2032786839,2167.160344145,1850.79436237234,3723.52957270089,0,0,2240.53038513291,4504.16802343724,0,3893.45306712805,1585.62308215654,3256.8057857609,3264.06452280012,2268.18039494631,3006.90345489541,653.397210821424,3220.77796067087,2082.69584518068,1827.43144986041,3237.1076106726,1676.88318183528,2096.56969375902,2201.80961282186,1672.18474206423,0,2527.54945419294,2379.16034466687,2550.81354853471,0,0,0,1913.08375084277,3287.42964874065,1858.08629383621,2438.47139791391,2028.12518710415,1182.70516172072,2827.87408428109,2812.08825901341,785.19459577175,703.199680926694,1572.14211485182,2071.0376262695,0,3052.04291435082,1149.49160704186,0,0,0,1546.83892136267,1644.30449890455,1551.0283710714,0,0,2415.84708988206,1539.23703573448,1274.05238623693,3311.65013307859
"Q9BYG3",2183.98326068594,2801.5212121498,0,0,0,0,0,1848.99887413794,0,4388.41164563121,1906.64117061864,2744.06866045382,310.672951993943,0,0,372.078603442861,0,0,3388.57046337706,0,0,0,2254.0771763661,273.023937260374,3939.99252253188,1120.95552081235,2112.16317825085,2414.20336580948,3491.2173091383,3115.84736744323,0,1915.28511089468,3253.52136232738,1792.44945382945,0,0,468.398014474666,1769.60452352822,3175.23952694672,2100.3825130642,1576.86165146158,274.171158489705,0,1834.84053779996,0,0,2523.00446258067,0,3589.39556697343,922.211284926433,1798.84212654292,1150.36491042802,0,2639.3377161029,0,2334.60378944096,2828.59980377339,0,1925.61686338577,2263.15142884598,2444.93915754717,469.656147764902,3221.86419490715,2328.87023083748,0,3336.98050060289,0,0,2857.46360031928
"P30520",2442.56276681502,1856.06843746833,3576.04127300686,2543.0566288907,2793.66699819653,2836.2228485979,2691.82290546331,1908.23634080307,1685.948028931,2243.03712615367,3407.18055732124,1229.6644875349,3577.59313004512,2323.21453805062,2182.41119321205,2483.91884715885,2596.39005306368,2362.87601354194,2475.21102367678,3157.54221329061,2969.79994358535,3150.28180727036,2660.71702545102,2991.78840857485,2528.37267212831,2341.10871080153,2950.95150620752,2686.45041481675,1025.57447542511,1510.76226144217,1571.85513673806,3334.76537113541,2660.84313818748,2640.45324869176,2845.06245692836,3298.91794724695,1913.59186435321,3119.72958349584,2299.04875684141,2828.98322714974,3091.5959881636,2548.6849097288,2383.36666990824,2264.85337199941,3829.61770823549,3365.48151254244,2691.05795866517,2431.57988552664,3294.19869649306,2619.23529033101,3104.06519725041,1985.83333026528,2845.0393667642,2749.71848188823,3123.06138696701,1671.91619208515,2031.65006489632,2957.36664193586,2054.42500622601,1964.85007068021,3580.08647429815,2759.01024829218,2442.8504709295,2001.74376161036,2402.74221287627,2663.58121185972,4426.68163486888,1268.33008738123,3600.84392102081
"Q7L2H7",0,0,686.950824841156,1048.42018003582,0,922.956509431254,863.550463090649,2944.30745324247,0,26186.671925634,789.622091694973,4025.35420141018,18638.0498788276,856.958738816627,1746.67635157602,0,814.24985793955,1682.68618009224,1595.88669602899,626.019558943427,554.270437316155,0,1249.57375160724,3905.96739398686,1004.39455929123,2694.27007943513,0,2048.45584294588,1509.00775934838,535.167540228919,0,2377.03299480028,3378.86231127715,2034.50304243198,0,14478.3481806869,0,0,3388.89067329623,3355.6852321252,6164.25098430593,3548.8689779105,0,0,12672.0483447957,0,0,935.676948740688,0,650.778139150997,675.922855654517,0,1139.28910496693,0,547.43527578847,0,514.536429530912,0,0,0,1779.88368190265,6176.68366259101,4525.52384349903,2873.72838484243,707.884184798445,0,526.076239384251,0,0
"O43447",5822.73121690184,5794.7538676285,6722.18444287802,2843.21443133501,6000.3338339099,3712.28994547667,4603.65108743849,5166.3742287868,4736.5578875806,6285.41593997184,6266.44762202383,1905.36648222655,6169.93900828211,7086.89743285221,4039.99516872347,5649.40445391265,3252.48355252344,4060.58377314061,4576.68379124968,4573.25093631643,5772.02270011378,6126.97290029749,4229.37500816126,3650.67710136063,2307.85859065715,4903.13209311029,5329.30749095071,3596.56240812179,5114.53208006244,4393.00700028711,8871.12294680397,5574.58157591769,6211.2564732742,5638.33254615024,6186.58426260098,4370.16357213331,6166.5384011268,5065.40002316913,5989.1555297652,4839.99749027223,7062.23696911056,5749.92990100319,5335.92034517165,4073.33726620158,5341.88742210514,5128.48044666594,5552.79273959783,5748.47685722786,4816.70021918884,8011.31062245725,4063.68374853354,967.919144403451,4380.47929008315,6782.44299562616,6093.86255946284,7963.37565949605,6289.02745750763,6669.44682620879,5682.72092715962,5503.05701846313,2488.33836482321,5866.73117204953,5850.66081432863,4050.43162977595,6241.59623382499,4239.96923548672,4092.62972542794,5617.86150503287,5913.93874108667
"O00629",17890.61410829,15470.0015143779,11611.9135844169,18870.8019074672,21289.3508077462,13000.9910267138,14792.2720757676,19298.7121523461,10866.9525776827,23068.7308566206,14473.5085094232,18297.301844321,18826.7362701235,12404.5710888323,13276.8268953925,10393.9757836048,12066.1032428653,13567.3081413556,12525.2268390076,13879.4449926767,12363.3171034302,17104.4138125291,13914.8994268627,10858.9146180955,12366.6300915489,16371.8703375278,11553.5300181922,14832.0812177798,12187.9459370146,11102.2545866824,18042.7268860288,11346.2543352677,14158.6994702748,15915.8413484242,14799.5784952546,11288.2345538286,11888.2760290694,17062.9711834151,14284.5674487316,26961.9815656281,15775.8351067217,18475.0956040668,19436.5499188551,14930.4522446771,12227.6807521666,7523.70438559348,14004.4149198299,15934.0848415092,16556.103014827,11678.2780375932,13203.2686801863,8977.36504772652,12009.6222922148,15747.3769671104,22995.0869680721,16669.4322988861,15977.1354235033,13137.3456991997,14379.7545388695,16698.5816098113,12783.3306825718,12349.9539846749,16003.4072074158,16113.7225377595,13197.7968927731,12946.2614181267,13121.3155294207,16378.8761154572,13149.7014876432
"Q00796",4157.71477323701,2849.88238362558,8792.18702925977,3366.50762892014,4467.15368960407,1522.60216753093,7940.14816228964,0,4049.18326076742,5507.78914945928,2758.41631534219,1413.24961227184,7785.43925575,3340.55552057406,4407.32576933786,3396.95076238595,1527.3787254532,6427.65984482993,2205.45194669866,1654.62197693359,0,1858.27389741697,0,2985.53364543481,1685.4745629973,0,2301.74120394423,2504.558559295,268.224383119736,1888.7806384942,2275.35299935324,2605.01388278912,3665.52470445283,5998.3366950116,4587.90732821853,4514.76576219352,1822.61942805489,3489.82723299735,1213.89676007111,0,2629.01682741417,1424.93101016716,2199.86619436166,248.850977447705,4405.44395524264,2118.20894831598,2724.71252843564,5804.04663925718,0,8066.91219438662,0,7536.21832547375,1438.89877257591,5306.35943793541,6544.58676889748,4592.77127440599,5385.38484621099,3542.36050501621,3049.70146548491,0,2662.17979110765,2144.08285716343,3672.96856089596,2456.35932898124,5253.13864235416,2237.72990674118,5177.62132589987,6943.02952303508,3853.81404619999
"O00625",2625.65471851564,3360.65163313657,8013.99487392017,4704.97735130841,3634.63651557625,6118.46768665706,8642.12785820697,3763.7577603157,8411.42426513527,6196.72107687672,4047.93467464499,4282.76044650839,4420.36744966688,4352.84099143399,8184.07302150072,4299.4956316195,2240.94166738935,9876.24613565737,5953.96173662913,10825.7780188125,4855.18392620989,5235.41909134125,14434.1862970647,10795.5333277392,5423.19818232241,9943.62974611075,3305.02614535737,5063.26890763136,4708.70320623241,4080.04325797223,4525.89414999269,7559.01223034398,3092.3296508772,4223.7533037645,6129.22449243107,4581.69531539777,6871.36519621792,10234.9252206565,6862.76296658034,8027.40147250367,5286.26725611219,5087.63112495972,8493.22200322029,10410.3118799774,5866.90619946623,6507.81640170792,6516.05213637879,8854.21547903377,8301.61998417366,6551.79951837231,8658.14271936015,4796.13857754479,4534.61162786291,4254.17004474387,6048.36942693365,9439.27481713431,3529.56668091409,4961.12408099127,7955.75938868998,3637.33729815727,17446.6965509908,4148.67057684924,4987.37281663813,4330.9911434772,7870.27170078665,8883.34757136558,12907.9909844254,5662.21657315004,8322.96078540333
"P61077",15163.4325211298,18699.8802642709,16682.9747280464,14401.4085749126,17314.3083973096,18214.6929886354,15817.7454224049,20250.8823514936,12973.5916834847,19641.1710910135,13028.5064753635,7422.20052448573,18124.5794783412,17874.1706558028,16456.1897422275,17071.3684894743,15847.4123314528,16948.2842264527,17810.8710879699,14617.8617829225,17296.4164586303,17811.820498078,16288.1672810658,16814.6853249275,14762.2448848374,17030.530623881,16399.9282705233,15822.9879465127,12420.79867468,13173.3196287373,18862.0618273247,13377.2686042767,16496.9037871463,22622.9936960164,10523.8966113099,10666.5395594882,13939.8217490841,12189.4490571458,14468.740194615,17125.1572245969,17778.3375009005,15837.15114594,11626.750161175,10615.4556661566,14631.2312598357,11998.6990674475,14981.0444973695,16513.35323998,14380.8065715197,16888.7984666315,18264.813199576,15045.0652589054,11894.2588233838,14809.9488867833,17700.9534307847,15403.2037175354,12908.609995114,19351.5084616071,14284.9061281752,18169.4285785963,11277.4915892433,12820.9928494569,10656.7252857928,17163.5860251365,14979.979274735,11829.4557062298,12898.8572796236,17043.9096510596,21007.6842791887
"P35268",45159.4187646712,46924.2039453683,43431.9295565166,38700.7133215677,38672.470179601,43915.5134026719,30747.0509825167,35907.1003709271,25066.9307106867,40671.2985830655,44503.5524045052,45500.4057778065,43626.244009144,37404.2863166913,45178.7619895278,38424.3671738177,40748.2635236282,40627.0432143913,40846.6314545354,36767.4454025192,36201.7379120504,37043.6778973324,38224.6999859693,43365.5554603412,39435.5470271446,30123.4010580449,36163.1553938714,41568.6221065629,33929.3161234804,32385.9974865059,53374.6351478816,29910.7652687879,40236.4518990435,47911.9501315995,29394.0376545247,25790.0888570551,36969.4145493648,40584.3706599705,34395.3769370074,36660.5099799408,43157.6109999594,41532.857712924,31708.9260706853,36230.5783979119,35499.0502522521,36039.5918168298,37877.9895971326,35820.4560325348,34592.7038295365,37819.4458808658,35809.0317388448,25580.3536515909,41830.8345299857,41393.9083318876,44584.1940618704,39019.7506461338,35192.2248815454,42651.1850570391,39135.0392908697,45479.700294105,30456.841121588,39414.5150719815,39218.2467420213,45944.0956196309,28912.8784075377,39190.1520549037,35156.7939753959,24807.583340599,39306.5480878613
"O95394",4366.10138590277,5685.4094529138,5769.77834716019,3518.00946740151,7810.8221905647,4460.07074473507,4644.57460632197,5516.10984351384,1711.02247078649,4638.31892644685,4311.9801838025,4554.1881060617,7556.50919035175,4829.09252064744,5724.70045388169,4598.05896599146,5468.6664620553,5928.03801255137,7193.09934641411,5347.34792747033,5315.96219568774,5651.82708243433,5372.3456904917,4683.43909309585,4329.40331087627,7770.31357244846,14273.302589238,7205.60964265225,2196.05902958441,1685.53088324934,3587.11024150885,1021.59121450451,6582.35413993034,6701.55525992145,2570.71805568233,344.176560352704,6606.27953266985,6311.3276300121,1390.35106035846,0,1772.35640325478,4392.48787607074,5752.06655543963,2824.83225204342,2846.32722138868,4019.41654055931,3321.78268306294,2352.23306407711,1876.38109476545,4187.16080887589,3741.90456240266,3032.07905017008,4462.467689223,2386.27175305941,1659.95668247076,1948.8870078752,7934.20966357327,3632.3184718881,3160.88418962073,2450.30361134914,14204.582430682,1245.96726350305,5386.56403488035,3891.75912792269,0,3085.65907325128,10980.6997177723,510.320577084283,4202.80597003355
"Q99584",2718.11619868531,5580.37248641038,3295.23164269379,5197.73677345906,6634.74562298063,3751.86187425755,5808.23697625762,5125.77304398227,3880.95925699137,6538.10001133617,3984.42486737484,812.308230830611,7035.98957910381,5468.70020840823,3912.97759540043,5477.27190737586,3392.69721758256,3641.80101680095,2522.48580909308,5757.89295726867,4872.45002263737,4265.30118912539,3315.76127070638,2438.36506796301,3176.94681756122,11990.1284858117,9133.73884558617,5142.66834161779,3844.8337873969,5537.8057099835,0,5244.99322076496,3544.84398189589,6074.31343575522,6661.08342291816,11245.9574847066,4743.73161433002,6387.4894846235,4155.99201422337,4280.02571480102,5925.63478009115,4307.50903199868,6388.6564674189,7333.04877793204,5412.20316894341,3370.94013488045,5177.7724425526,8087.48404163699,6498.84737565444,6948.91340143995,3185.34453323027,4292.20582049998,3105.92573814938,5902.27158915961,3675.15187094902,7683.97846423232,11398.7849083192,5433.64682675144,5546.58540220985,3848.17796963971,7458.65796596228,4831.68148604823,3265.22445957052,1950.76928274474,5015.4626170604,6540.63646314921,7061.92454361334,5272.75029115106,4955.58940936969
"P62266",16672.8517066824,16633.8378089387,26186.1944546304,22931.8960650626,23091.4031699567,22438.0371060105,22677.1190431992,19738.3183065794,18069.4405000835,22560.1022280858,22943.8946605121,20923.7164022776,17564.1838556576,16949.7869319697,10512.2351101382,16127.8087654357,14070.48980592,14595.0860044008,17537.0711206365,16887.4590306511,16228.2917609371,21334.010717598,14066.8824993794,20272.8098801495,18026.5839504753,15044.4433933255,17407.2025349949,18363.5796533141,19384.6900013281,20560.5104915396,14565.1420283183,17437.3665373788,13773.8811690645,18255.0733890581,18179.4266032334,20071.0207375238,20337.0850337441,20808.4615542341,21406.8847195437,24439.6422102861,22287.874878188,25505.797919977,19086.5150638523,17767.860486168,19232.5807207887,17111.0200636674,20889.5957706946,22825.4122655184,19018.6830814921,24156.1502770056,16548.7823659988,13918.4007639702,24324.7252963522,23063.2975615344,25522.5960966531,21634.7398314426,22562.3397131118,12927.7371266246,22502.2072332915,18876.488356469,19569.2412195465,12439.6500152875,20819.5599483598,19947.5298036098,19476.5089575536,16735.6354410015,27247.8133153103,19521.7876998207,25194.3894233179
"P31323",2206.93902110309,1807.66773903714,0,4406.35558186063,3387.02179042478,3325.07924745856,0,2234.15966730473,0,0,4875.93542650348,2491.47731464348,2603.18706695676,0,1516.12866360642,0,1841.80488130993,0,0,3012.45384576619,2309.51474581998,3375.46841330004,3584.89832222689,2535.55952596191,1300.29604815693,2080.48531361165,1858.49339373835,2587.89204551694,4223.45132581342,1386.29454326213,0,2171.47796575451,2115.05092916507,0,2891.59580364572,1957.613279565,3642.68157831757,6956.42415654068,5025.05373562274,4858.00629496297,0,1553.59249093013,0,0,0,0,2282.76408264266,4267.59618652545,2415.68775859479,815.962416295469,4312.27084997548,3052.17922866573,2522.28986082882,4261.04396532984,0,5180.59664715758,0,2092.09729508081,4750.89205262556,2305.77338806517,5351.35275370534,0,5154.83589327389,3752.60382239726,3709.95819791626,4950.98114987727,0,3555.87626808294,4124.81292348417
"Q9Y295",5783.77369022885,6914.78141355111,6483.77727971824,5237.14842647279,5234.14506519187,4370.2479800159,5162.04777742384,11587.6689175788,4118.68905903292,4687.80613583422,5152.6529116853,7291.22731918365,6523.15231840427,4956.88988134925,4077.0013555615,5698.79422619005,8489.62515641943,5180.69775604879,5084.20152978854,6109.66515518976,4582.94420704861,4344.26192358812,4649.40509139838,5397.48573100461,4205.57445266633,4031.42755840546,1125.33665285559,5612.44083939515,11843.8645756208,4639.92317560234,8730.26623858031,4578.2758752599,6587.12280965269,5267.32062374317,5741.76384961143,4541.20878196974,4826.06397840493,6339.951189634,9021.72026659706,6917.83527456292,5845.39217374986,6885.36953784765,8585.77450172722,6915.75975625702,9050.45275702211,5071.57869099767,5207.65124523873,6020.87019052093,5437.74022832697,6492.84875731048,5633.81824372489,5263.34817428791,4504.28030532622,5226.22845797498,4972.98567382667,4501.56603134527,4054.14090612159,4493.2979614087,5951.76352171925,4786.02931564184,5185.08373371723,5376.60141551694,8252.18427711311,6617.32563296959,5557.12306898691,5089.98953563738,6629.78179270935,6612.14077554782,5516.69770290914
"P10109",2861.37109931124,1512.96957858497,4250.1494993339,4022.8211627764,0,3282.42211924518,2171.20276259838,0,3335.67411165932,2694.72931906683,4163.87447360179,4852.30275525044,3519.43143942542,3811.75769787956,3918.82088778562,1955.42981159695,2202.88403246848,1510.18887175156,1812.0852426802,5917.36652495173,2778.46340464876,4003.17666894659,3016.6561514088,2520.32322605465,2358.02325033558,1632.9585881082,2293.76373110305,2246.70546619257,3466.06704416767,1722.50608728196,1795.46462805264,2977.7490333652,2844.72607337175,1424.97914138565,1579.46812242796,1934.13478782382,4046.61950334905,4387.84845029121,3764.60168327552,3134.883740699,4057.26208231991,3673.58778576231,1812.17822373921,4216.25891692568,3730.0914004319,2520.02616130857,3114.29558698914,2772.42228573351,3485.25981876363,3174.57284184698,1709.02239478588,1659.84371061245,2415.27833468618,6940.23204332717,2602.71873824064,3931.7580269987,2046.00476599986,2118.07213857456,4353.65480851533,1572.06847877243,3616.98724820306,4136.40243748209,1911.3384528318,3147.69171674442,2997.1515743248,4715.51686972229,4000.29507887634,3398.76756462829,1772.45168360253
"P67775",2342.53373534695,8047.12298314665,0,5805.10474824827,2390.44720729321,5644.62753880625,11111.5951638491,0,4770.93526867076,3387.029235004,5034.04330349091,3359.10732645069,0,0,7252.7410465805,3239.46462237301,4802.86848180861,6849.22990017304,3624.02633534907,8781.49207105677,4095.47308791547,0,12790.2695720155,8675.41649940334,0,3910.49877276537,4644.97386030871,3951.53467098607,179.159174958066,13573.267006642,2777.2301398392,329.792799818438,5090.66584764071,8782.19657439412,0,2897.14565240711,4628.98962261578,7021.62801263108,4228.29409816599,6985.88988571713,7135.88584208658,10894.7623727011,0,10578.6115113157,5483.06010013247,0,8031.76195208377,5465.76973804208,4339.75793871952,258.72932480128,3408.03931909237,2337.93693288737,0,5094.04078980814,7521.5564121419,0,0,12637.9813824636,18872.4970526678,4365.87005713964,18157.8247340286,6097.00844564055,4866.0419452893,0,6800.95217074936,3650.11832862747,19736.2035034767,4627.67694990375,0
"P68402",3739.18316706744,4105.04893565436,2541.30891670983,3581.41479275586,3325.32779395167,2998.53508358763,3423.41746983888,2772.82609561575,3098.21395042869,2468.47199417958,3306.02868131628,1657.58319774783,3493.50140873184,2789.43140002899,3225.36185591083,3373.90121662282,2648.18153879572,3799.54346479589,3282.51336385717,3580.6944370939,2978.56805168302,3335.75919906984,3335.5255566996,3024.61910454169,2839.73567269805,3130.44398218523,2756.33337649885,2822.94169128978,2657.45338416784,3126.80926676025,4565.51180559237,2740.65361305322,2135.66127405728,3627.68104837134,3531.54810895111,3059.29727915807,2850.16996254209,2978.558524945,2925.25931037349,2981.48636516539,3296.35846748098,3664.6455272553,3215.63702213308,3391.57080414743,3130.85577127698,4069.00269361542,4409.22143563017,3717.05086782932,3361.71876078952,3829.69582884323,3989.39747053134,3702.00075955248,2976.51969195598,3819.30624501952,2885.98796661867,4215.96965600835,3302.16412850607,3654.2464410192,4046.71022858128,2613.26023642797,3955.90996100352,2987.9981643647,2361.23223619745,3726.7628024787,3772.63305329883,2206.51825679467,3127.11814174517,4197.8176491527,3345.46833882764
"P49720",8145.57956657922,378.440862222666,8064.76572611003,9226.68021525712,3381.25281212954,5958.23600524903,4871.6174963783,7044.17608642148,5108.65590891135,7782.50332927764,3611.59312826481,6996.21997270691,6940.24265277619,17016.8326552302,844.417749252564,6760.8749625838,15250.3061509838,7227.83563333705,7121.728899122,6427.23718988287,5775.49652195066,10654.6062181946,4114.06038609859,5147.92190837621,6037.66128208409,0,5498.50025665549,7209.78568545413,6464.74016681548,2239.38384501335,0,7824.46314363419,7477.40653477459,4863.27089369237,8970.19538823143,15045.8262851536,6354.37422426794,4469.43850495442,6275.83498253031,4360.81756162045,6546.33141004788,7102.91786075086,4983.28613822639,9908.13457065235,4895.7297420912,417.891918374249,6282.81230120341,16113.9370905339,5037.90453510762,4972.03951959534,7313.9504285546,3375.0745742043,0,5232.52200393506,793.882785264124,4243.10007688974,7783.0496024937,0,3104.65841640983,4815.21163156721,4335.0923479456,7358.70784511534,4916.97042144301,4308.05157253931,8879.44651883015,5235.8291720633,7729.03345156755,11418.7492185184,3079.97061857239
"Q9NRX1",2486.59402035547,5181.70114069139,3640.95307266477,5036.93252501557,2528.87949463272,2672.95504480764,3661.08072379254,2448.55435116806,1570.17564738612,4717.5780558824,3538.15226418384,5964.9087257273,3871.73174031003,4521.91876430702,3216.86638493939,4133.96396924787,0,5470.56213543781,6092.68842938561,4240.27338552283,3748.90579116058,3407.49761787071,3781.39980127967,6041.63945773865,7091.28032912559,4165.5465752803,5966.77708515352,4867.50335196248,5496.27131808834,3788.09462480171,3052.58040081387,4934.80249505863,6273.95721827591,5041.2298585636,3660.95976749528,3030.78924592893,6426.08880111878,4256.20314171294,7218.70425656795,3682.7201230319,4855.31215324268,3529.66788178185,3906.96811577907,5147.18519246434,2609.19250269893,2661.4154823208,3944.68828063904,2213.90927141244,4947.57879088554,2955.26439166121,2971.97478365033,1150.11644327055,3127.15979822129,3285.60175677209,4566.6900150407,5765.25457859785,3909.92732165336,3021.790799642,4215.40392553637,6794.03302328546,3525.50279593142,3750.48078327454,4491.20106839487,5835.54799175065,1694.58852432001,3311.87943017518,3002.01993605435,1571.35822517608,5837.82565316327
"P04921",2972.0233658843,5803.59522754914,0,1821.03948117969,2484.84118582227,0,4381.84530969329,1373.76395249522,0,2161.21949813864,2027.95872239056,2657.30320242065,3385.33729676438,2015.47326397981,3273.88319728557,2915.18445742107,0,5108.29917662768,3226.33265630423,3056.6379818632,2811.50497382325,2680.97743664893,3717.27222634956,3042.59948593655,0,4151.67977507299,5461.62530662519,0,1984.93043005217,3690.27098691117,3421.79436790473,2672.52545055306,0,6516.66768616325,1387.66429483699,1809.32478473387,4580.83600180833,5647.80229559559,1623.63407647968,2151.48621330015,1496.53234999255,1469.48165586341,2723.50570309034,0,2177.80623524963,2932.75466125992,1893.53069099128,1529.03105379344,2504.29543533735,2349.15594086551,4285.43181054033,0,2401.53511334389,1711.00919488662,0,2992.9355226412,2998.89899787145,5436.18359023933,1223.99972428099,0,1694.81210837005,1588.55567354866,2387.6879404643,0,0,4251.72226026389,3778.96537053345,0,3525.27387446675
"Q8N1F7",6762.44631538168,2948.35945396005,6353.43651902903,4432.83944469505,5166.44355614304,5203.87906869363,3534.15724292097,4448.05424404592,5272.35231121501,4209.75708686223,6531.05296402897,7305.33823326346,7054.13767379437,6259.97183637896,5903.07268177126,3080.27828282342,6950.61307047067,5115.45145199661,6156.74649667642,6230.44761452778,3424.73353593199,4771.71639210411,7599.95433029047,6550.13780909883,5526.71977263343,3625.40928928851,2219.58080370301,6027.33465104985,6807.578024275,2734.39859754554,3597.28207578701,4636.08398473038,6272.20865644849,4596.14937069896,5403.04145467665,4846.50622353376,5474.18070015457,4910.75162636048,5588.08108852239,4504.86494371701,6356.62052001312,2750.19831749082,4190.89429786628,5996.59850496774,5093.21479140666,4953.86445930414,5827.2637652266,4486.6596939211,4350.94612703596,5348.37688422103,2268.42776851403,4539.83722847806,5053.88950125545,4644.51967759246,6531.71229739824,6045.090457669,5470.61494327665,5329.98566817082,6574.36499273212,3266.74101388825,4972.34844401664,4431.08193536853,2999.53536607106,4102.22656042541,3759.54914024284,3195.57491968432,7346.69392311529,8257.17320405864,5242.69817104099
"O75223",3400.64181723214,5075.36069664029,3986.68983586044,3378.55011527742,817.450107762498,3291.34394495313,3048.13548112679,813.891976332921,0,960.584609406536,3932.43995894378,437.179093646885,3385.76819772682,0,2531.60639970099,1139.05959570691,757.104904374402,3346.96805964343,2914.78061116219,3092.43382796952,796.615988741108,2799.60934496966,2389.28847548745,3442.48674929942,2314.83556017796,4242.76171722296,4006.90361118648,721.786277281371,4353.33071943965,3172.10599863625,1353.76057390741,3083.14045378499,648.867309227266,3640.90961995842,966.611807125968,3170.13125956677,928.651307621776,918.223104679283,3083.20155633308,3233.70106019744,2498.03752057506,4972.28667777822,3282.18257358766,533.022005881106,494.028653845463,717.562511890615,677.103040350467,0,3467.63786638677,731.679471482509,4377.72107267695,4374.13912453563,933.487691639941,2857.83276457939,1001.36969583699,3287.19156309403,3484.54381738047,4834.63587680257,799.640742854035,4879.62990144198,3500.04034725306,4451.62752278733,4484.23495460223,3461.66986643374,5385.77488163201,713.310212586431,912.498678951991,4288.18568519483,5026.47809673126
"P17612",2985.33074044733,0,2904.29591247049,0,2150.42710997358,1659.72820341172,3914.32949595,1886.82028972011,4186.28260337304,2026.8691234202,3107.05274343668,1770.80757909378,1978.55619404729,2034.16682056149,2777.40676538959,2640.87281923031,1944.43476064256,2599.46962394979,1907.8947897238,2151.84255714747,318.160667240849,1922.42190473717,2399.47652566228,2555.47202624261,1656.88199957827,3648.89865861961,3349.73571233069,1404.37615410359,3943.89492821833,1827.96560396712,3439.97478177413,2436.26164255834,1727.88488505314,2917.52336377545,3952.12326250904,2897.82616902674,2828.58969324174,5164.53791730034,1928.93225056324,3316.84047225154,2007.5662031821,1852.02829622598,3969.22181983973,2649.09387519398,1744.0527495334,2036.46992890346,1953.01736882051,3854.36218245681,2981.33693029343,2411.84927276558,3601.56505279394,3301.61721086063,1413.7905003456,0,0,1957.4033782626,2522.33397300085,2489.12063624618,2207.95709692583,3130.42875898786,3587.31528742263,3100.33275839894,2223.30572284434,2942.90821444109,3135.54863331662,4026.22294576143,2313.883083413,3327.5734196286,3760.48886296754
"P24941",11078.8761526897,8741.26384045733,15490.0611523466,12388.936146816,19207.7203707608,18383.1251532542,10748.214157452,23864.5904487246,14853.7421230438,16020.1642426744,16481.592368132,16812.0550297857,16917.8884154551,33599.3071530912,14345.1524950147,17732.670914294,23655.6746020489,17892.8911770413,20196.1794815155,14754.8967640269,21400.5085754622,22381.1435049852,14629.9539654808,18559.6743017357,16359.2569494937,20724.7634972668,26237.9116944615,18356.6130692026,17298.8592883981,20973.5508100439,23388.1753822513,18634.2864111752,33658.7687998634,17575.1086878822,23621.2477166951,25580.9055736178,21726.6948564379,18030.2162326916,17216.0255380434,22145.6402220376,18697.2960024141,16067.3209336047,23512.3848612489,20880.0846270598,9842.2437174823,20119.8943348627,15643.8859090994,25864.3899586949,14444.6371483706,11045.6434645455,20814.1024313573,25371.6447478531,12733.1992165857,18360.387860676,21431.288890893,20814.016418135,18821.6856135369,26667.270504022,15921.4863885468,23616.6711986748,16619.9263195567,19285.2987284293,11256.9012062476,20447.8446345957,31521.2010680942,19283.9830765534,21975.8124542296,32607.2416602338,15187.0790496819
"Q9BVK6",376.467789259889,3621.69214676449,3535.50105552106,0,308.396846028105,483.362588372423,3460.91347395546,0,0,0,2717.84900603695,412.037034123105,362.353019454805,0,3549.75098450006,2380.18053526329,0,372.832575153053,4393.41403684569,249.82964283514,0,0,3117.08352519286,344.742498308445,465.908938691854,3339.58116072313,0,3405.94287247975,3225.50837328811,2903.78353487972,4857.74823473689,137.96802935033,0,483.311355225756,0,232.696757060234,0,327.618049198299,2546.4773543463,4042.52079357391,534.990711730896,0,3273.92586650594,0,416.496823995738,3137.08583387444,2863.52342872798,401.172758433861,0,368.620785989205,0,0,291.27734976023,5015.69102136096,560.962479915028,3525.76321043752,0,0,3444.56758201526,0,2717.73508697073,467.724808994619,2552.80537969447,354.372523435292,0,0,0,0,171.885463597625
